id,audio,image,sura,aya,aya_suffix,sura_name
1,001001.mp3,1_1.png,1,1,0,ٱلْفَاتِحَة
2,001002.mp3,1_2.png,1,2,0,ٱلْفَاتِحَة
3,001003.mp3,1_3.png,1,3,0,ٱلْفَاتِحَة
4,001004.mp3,1_4.png,1,4,0,ٱلْفَاتِحَة
5,001005.mp3,1_5.png,1,5,0,ٱلْفَاتِحَة
6,001006.mp3,1_6.png,1,6,0,ٱلْفَاتِحَة
7,001007.mp3,1_7.png,1,7,0,ٱلْفَاتِحَة
8,002001_1.mp3,2_1.png,2,1,1,ٱلْبَقَرَة
9,002001_2.mp3,2_1.png,2,1,2,ٱلْبَقَرَة
10,002002_1.mp3,2_2.png,2,2,1,ٱلْبَقَرَة
11,002002_2.mp3,2_2.png,2,2,2,ٱلْبَقَرَة
12,002003.mp3,2_3.png,2,3,0,ٱلْبَقَرَة
13,002004.mp3,2_4.png,2,4,0,ٱلْبَقَرَة
14,002005.mp3,2_5.png,2,5,0,ٱلْبَقَرَة
15,002006.mp3,2_6.png,2,6,0,ٱلْبَقَرَة
16,002007.mp3,2_7.png,2,7,0,ٱلْبَقَرَة
17,002008.mp3,2_8.png,2,8,0,ٱلْبَقَرَة
18,002009.mp3,2_9.png,2,9,0,ٱلْبَقَرَة
19,002010.mp3,2_10.png,2,10,0,ٱلْبَقَرَة
20,002011.mp3,2_11.png,2,11,0,ٱلْبَقَرَة
21,002012.mp3,2_12.png,2,12,0,ٱلْبَقَرَة
22,002013.mp3,2_13.png,2,13,0,ٱلْبَقَرَة
23,002014.mp3,2_14.png,2,14,0,ٱلْبَقَرَة
24,002015.mp3,2_15.png,2,15,0,ٱلْبَقَرَة
25,002016.mp3,2_16.png,2,16,0,ٱلْبَقَرَة
26,002017_1.mp3,2_17.png,2,17,1,ٱلْبَقَرَة
27,002017_2.mp3,2_17.png,2,17,2,ٱلْبَقَرَة
28,002018.mp3,2_18.png,2,18,0,ٱلْبَقَرَة
29,002019_1.mp3,2_19.png,2,19,1,ٱلْبَقَرَة
30,002019_2.mp3,2_19.png,2,19,2,ٱلْبَقَرَة
31,002020_1.mp3,2_20.png,2,20,1,ٱلْبَقَرَة
32,002020_2.mp3,2_20.png,2,20,2,ٱلْبَقَرَة
33,002020_3.mp3,2_20.png,2,20,3,ٱلْبَقَرَة
34,002020_4.mp3,2_20.png,2,20,4,ٱلْبَقَرَة
35,002021.mp3,2_21.png,2,21,0,ٱلْبَقَرَة
36,002022_1.mp3,2_22.png,2,22,1,ٱلْبَقَرَة
37,002022_2.mp3,2_22.png,2,22,2,ٱلْبَقَرَة
38,002023_1.mp3,2_23.png,2,23,1,ٱلْبَقَرَة
39,002023_2.mp3,2_23.png,2,23,2,ٱلْبَقَرَة
40,002024_1.mp3,2_24.png,2,24,1,ٱلْبَقَرَة
41,002024_2.mp3,2_24.png,2,24,2,ٱلْبَقَرَة
42,002025_1.mp3,2_25.png,2,25,1,ٱلْبَقَرَة
43,002025_2.mp3,2_25.png,2,25,2,ٱلْبَقَرَة
44,002026_1.mp3,2_26.png,2,26,1,ٱلْبَقَرَة
45,002026_2.mp3,2_26.png,2,26,2,ٱلْبَقَرَة
46,002026_3.mp3,2_26.png,2,26,3,ٱلْبَقَرَة
47,002027_1.mp3,2_27.png,2,27,1,ٱلْبَقَرَة
48,002027_2.mp3,2_27.png,2,27,2,ٱلْبَقَرَة
49,002028.mp3,2_28.png,2,28,0,ٱلْبَقَرَة
50,002029_1.mp3,2_29.png,2,29,1,ٱلْبَقَرَة
51,002029_2.mp3,2_29.png,2,29,2,ٱلْبَقَرَة
52,002030_1.mp3,2_30.png,2,30,1,ٱلْبَقَرَة
53,002030_2.mp3,2_30.png,2,30,2,ٱلْبَقَرَة
54,002030_3.mp3,2_30.png,2,30,3,ٱلْبَقَرَة
55,002031.mp3,2_31.png,2,31,0,ٱلْبَقَرَة
56,002032_1.mp3,2_32.png,2,32,1,ٱلْبَقَرَة
57,002032_2.mp3,2_32.png,2,32,2,ٱلْبَقَرَة
58,002033_1.mp3,2_33.png,2,33,1,ٱلْبَقَرَة
59,002033_2.mp3,2_33.png,2,33,2,ٱلْبَقَرَة
60,002033_3.mp3,2_33.png,2,33,3,ٱلْبَقَرَة
61,002034.mp3,2_34.png,2,34,0,ٱلْبَقَرَة
62,002035_1.mp3,2_35.png,2,35,1,ٱلْبَقَرَة
63,002035_2.mp3,2_35.png,2,35,2,ٱلْبَقَرَة
